"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"HLA-DMA",2320.22422657555,-7.09165398425761,0.220776277710213,-32.1214491783668,2.21267047211969e-226,3.90536338329125e-222,"DOWN"
"MYOF",5283.86534293627,10.628792724029,0.36560036887666,29.0721608314754,8.07527972295551e-186,7.12643435550823e-182,"UP"
"TRAF1",4428.27674687,-8.95165296765009,0.333924762949511,-26.8073948412253,2.64952336371061e-158,1.55880291231641e-154,"DOWN"
"BST2",2437.39290046816,-7.50573749719433,0.284716045915397,-26.3621864832468,3.7207503380599e-153,1.64178108666893e-149,"DOWN"
"CD22",3646.58573710581,-9.23513812359234,0.355887669875108,-25.9495872021451,1.8379101861507e-148,6.48782295711196e-145,"DOWN"
"PIK3AP1",2919.58901801759,-10.556844977131,0.413724701919151,-25.5165933485741,1.290138929232e-143,3.79515868349079e-140,"DOWN"
"TPM1",6797.12311991752,8.80768732788253,0.346562891711488,25.4143981901412,1.74825124152546e-142,4.40809063041778e-139,"UP"
"GATM",1640.34234659016,-9.45983316426278,0.382815122291566,-24.7112316452793,8.09966468247039e-135,1.78698852057003e-131,"DOWN"
"ANKRD33B",3175.54716838874,-6.00616525794356,0.243713513607873,-24.6443669414544,4.22919638570695e-134,8.29392402308085e-131,"DOWN"
"IRS1",3290.95126239051,9.36385066623175,0.409802274864406,22.8496795663958,1.47214846824569e-115,2.59834204645365e-112,"UP"
"HLA-DMB",2054.86159534997,-11.6303354773703,0.512425593831378,-22.6966326767773,4.83650979777089e-114,7.76039981187784e-111,"DOWN"
"CCR7",3398.9297384251,-10.6348141304896,0.470992679309524,-22.5795741583081,6.88084859485372e-113,1.01205814749307e-109,"DOWN"
"CCL22",24726.4113608726,-16.2196422778551,0.726257937373586,-22.3331704112058,1.75988867514136e-110,2.38938731663423e-107,"DOWN"
"ARHGEF6",649.044837021061,-7.39696335330456,0.333603090124591,-22.172946151494,6.26711794731288e-109,7.90104512643374e-106,"DOWN"
"LGALS9",1142.20357267661,-8.02692489406095,0.364260082933745,-22.0362462705554,1.29434045667176e-107,1.52300727068377e-104,"DOWN"
"PLCL2",1001.84683575107,-7.1107722878083,0.32328631761972,-21.9952775612752,3.19571834239226e-107,3.52527679645146e-104,"DOWN"
"TJP1",3931.5984443453,9.31026436828599,0.428041304442229,21.7508550498835,6.78042630755703e-105,7.0396779016695e-102,"UP"
"SEC31B",685.498122482782,-5.0011209607213,0.235149754261587,-21.267812830278,2.25554837027354e-100,2.211690485296e-97,"DOWN"
"ADPRH",619.793277211528,-4.8057492084388,0.226336502434051,-21.2327625317047,4.75817518106486e-100,4.42009431293657e-97,"DOWN"
"MAP7",1906.26403287752,6.82304914311602,0.322369214527025,21.1653248376297,1.99383700624061e-99,1.75956115800734e-96,"UP"
"EPHB4",4353.3499235487,5.83868058990136,0.277711472784297,21.0242685740116,3.93411566543302e-98,3.30653054737585e-95,"UP"
"STAG3",797.020540802189,-7.06451145598409,0.338857319692467,-20.8480414777392,1.58790124358467e-96,1.27392986133043e-93,"DOWN"
"MX1",3082.19658138208,-7.87560080028954,0.381290152182045,-20.6551382332302,8.77696174359869e-95,6.73536412063117e-92,"DOWN"
"ACAP1",1501.93808495603,-7.40229331171536,0.361325996106456,-20.4864675984577,2.84286333743947e-93,2.09068907940861e-90,"DOWN"
"PPL",3649.17619002081,9.02623322664801,0.441382027051345,20.4499337840007,6.01568180319211e-93,4.24707135305363e-90,"UP"
"PLEK",5916.61406114036,-13.6673388932994,0.67455486496046,-20.2612709554775,2.82573705247827e-91,1.91824072985544e-88,"DOWN"
"IQGAP2",1969.206494674,-8.69050173731313,0.432414131475441,-20.0976358188394,7.7393789650479e-90,5.05926069381835e-87,"DOWN"
"IL16",2405.4030412283,-7.54287406843507,0.378231389883171,-19.9424856587523,1.7419034723982e-88,1.09802129599387e-85,"DOWN"
"IRF4",8721.43869638267,-15.0408806801179,0.755847208595963,-19.8993665770855,4.12103458261811e-88,2.50814690976585e-85,"DOWN"
"CD9",5753.93341934102,5.31162787991623,0.267774230478056,19.8362175121684,1.44963848288482e-87,8.528706407639e-85,"UP"
"PLCD3",2387.40013678189,8.77358260431834,0.44338173844258,19.7878754211583,3.78671055836539e-87,2.15598197919836e-84,"UP"
"RASSF5",1343.12245644453,-5.34733716329847,0.271451579385224,-19.6990460523714,2.19720955351783e-86,1.21189839436218e-83,"DOWN"
"BTK",1494.68666651619,-11.3395615004375,0.583361233332197,-19.4383185794935,3.65964547712365e-84,1.9573558385222e-81,"DOWN"
"JAK3",1122.15667598274,-7.03385666088454,0.363419870814138,-19.3546286974546,1.86332372254161e-83,9.67284226554686e-81,"DOWN"
"ESRP1",3666.24486304498,10.1389184169009,0.524922227628324,19.3150868514561,4.01056495858132e-83,2.02247061482744e-80,"UP"
"KIAA1522",4088.5186566007,7.65342668448607,0.396999931825216,19.2781561681869,8.19458224662756e-83,4.01762157369379e-80,"UP"
"DSP",10145.2555505947,12.2997833913138,0.641431785990253,19.1755127512511,5.9281144215981e-82,2.82787079841099e-79,"UP"
"ZEB1",614.461327212873,-7.63488115129043,0.401439804337577,-19.0187447004387,1.19305860680585e-80,5.54144326582193e-78,"DOWN"
"CYTH1",3822.85817803254,-3.60113542517777,0.189796810967559,-18.9736350511879,2.8173406739677e-80,1.27502725373154e-77,"DOWN"
"HCLS1",3106.79395581595,-11.9651057782497,0.637699143029842,-18.7629321899367,1.51790312125567e-78,6.69774752254062e-76,"DOWN"
"WDFY3",1497.533165933,7.88970997055407,0.42216292580443,18.688779824804,6.10943315663572e-78,2.63003646864928e-75,"UP"
"BCL2",1431.54290542554,-6.00170960862135,0.321314779360157,-18.6785980419971,7.39355840903978e-78,3.10705490284648e-75,"DOWN"
"TSKU",1221.77667278893,6.62869924398769,0.355544443043187,18.6437993159199,1.41802376734369e-77,5.82049290549212e-75,"UP"
"MYO1G",4362.30145599984,-13.2457445295664,0.710572417493765,-18.6409494704073,1.49562484800498e-77,5.99949512892907e-75,"DOWN"
"PLCG2",4549.6996129022,-5.48693834890109,0.296171237157688,-18.5262363812179,1.26855433194133e-76,4.97555199083654e-74,"DOWN"
"TNFRSF1B",939.818476136036,-10.4185486207065,0.563370115095742,-18.4932575256249,2.33983321940516e-76,8.9778383309785e-74,"DOWN"
"PHLDB1",2090.30530287616,8.01786248194337,0.434111986853144,18.4695717343915,3.62952137011227e-76,1.36300111026556e-73,"UP"
"PHACTR1",557.769952827837,-9.04405523878631,0.491067525708435,-18.4171315864126,9.57446548699646e-76,3.52061074678099e-73,"DOWN"
