,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HLA-DMA,2320.224227,-7.091613551,0.224591163,-31.57565712,7.97E-219,1.39E-214
MYOF,5283.865343,10.62867464,0.369462069,28.76797254,5.40E-182,4.69E-178
TRAF1,4428.276747,-8.951648662,0.337670766,-26.50999012,7.43E-155,4.31E-151
BST2,2437.3929,-7.505671858,0.28808049,-26.05407906,1.21E-149,5.25E-146
CD22,3646.585737,-9.235051956,0.360832159,-25.59376078,1.79E-144,6.22E-141
TPM1,6797.12312,8.806977959,0.3498945,25.17038121,8.46E-140,2.45E-136
PIK3AP1,2919.589018,-10.55766456,0.423116438,-24.95214939,2.02E-137,5.02E-134
GATM,1640.342347,-9.45985801,0.385633588,-24.53069003,6.95E-133,1.51E-129
ANKRD33B,3175.547168,-6.006211918,0.247525937,-24.26498006,4.59E-130,8.87E-127
IRS1,3290.951262,9.363959068,0.412602506,22.6948672,5.03E-114,8.75E-111
HLA-DMB,2054.861595,-11.63061733,0.51563986,-22.55569873,1.18E-112,1.86E-109
CCR7,3398.929738,-10.63475833,0.477072703,-22.29169319,4.45E-110,6.44E-107
CCL22,24726.41136,-16.21933834,0.730673559,-22.19779017,3.61E-109,4.82E-106
ARHGEF6,649.044837,-7.397271112,0.337191649,-21.93788348,1.13E-106,1.40E-103
LGALS9,1142.203573,-8.026957186,0.367188309,-21.86060121,6.16E-106,7.14E-103
PLCL2,1001.846836,-7.110683645,0.326555081,-21.77483695,4.02E-105,4.36E-102
TJP1,3931.598444,9.30832101,0.431447411,21.57463637,3.11E-103,3.18E-100
MAP7,1906.264033,6.823215501,0.325751458,20.94607817,2.04E-97,1.97E-94
SEC31B,685.4981225,-5.001009772,0.238854855,-20.93744242,2.44E-97,2.23E-94
ADPRH,619.7932772,-4.80577554,0.229826976,-20.91040667,4.31E-97,3.74E-94
EPHB4,4353.349924,5.838946396,0.281154671,20.76773744,8.48E-96,7.01E-93
STAG3,797.0205408,-7.064509467,0.34209767,-20.65056293,9.65E-95,7.62E-92
MX1,3082.196581,-7.875565525,0.384337941,-20.49125181,2.58E-93,1.95E-90
PPL,3649.17619,9.026244636,0.444083963,20.32553611,7.64E-92,5.53E-89
ACAP1,1501.938085,-7.402185246,0.36445791,-20.31012373,1.05E-91,7.27E-89
PLEK,5916.614061,-13.66671625,0.684231113,-19.97383047,9.30E-89,6.22E-86
IQGAP2,1969.206495,-8.690959982,0.437213128,-19.87808559,6.30E-88,4.05E-85
IRF4,8721.438696,-15.04099838,0.757817045,-19.84779636,1.15E-87,7.14E-85
IL16,2405.403041,-7.542788598,0.381596364,-19.76640585,5.80E-87,3.47E-84
PLCD3,2387.400137,8.773565849,0.445990965,19.6720708,3.74E-86,2.17E-83
CD9,5753.933419,5.311530146,0.271259852,19.58096675,2.25E-85,1.26E-82
RASSF5,1343.122456,-5.347271392,0.275122466,-19.43596783,3.83E-84,2.08E-81
BTK,1494.686667,-11.34009292,0.588337988,-19.27479298,8.74E-83,4.60E-80
JAK3,1122.156676,-7.033965191,0.36653383,-19.19049378,4.44E-82,2.27E-79
ESRP1,3666.244863,10.13616132,0.5285238,19.17824951,5.62E-82,2.79E-79
KIAA1522,4088.518657,7.653515505,0.399833101,19.1417756,1.13E-81,5.47E-79
DSP,10145.25555,12.29988639,0.64367688,19.10879012,2.13E-81,1.00E-78
ZEB1,614.4613272,-7.634771203,0.405353228,-18.83485978,3.91E-79,1.79E-76
HCLS1,3106.793956,-11.96510821,0.641333104,-18.65662031,1.12E-77,4.97E-75
CYTH1,3822.858178,-3.601127237,0.193666597,-18.59446749,3.56E-77,1.55E-74
WDFY3,1497.533166,7.889770404,0.424805436,18.57266816,5.35E-77,2.27E-74
MYO1G,4362.301456,-13.24588576,0.71370789,-18.55925364,6.87E-77,2.84E-74
BCL2,1431.542905,-6.001758721,0.324634384,-18.48774809,2.59E-76,1.05E-73
TSKU,1221.776673,6.629876601,0.359356373,18.44930851,5.28E-76,2.09E-73
TNFRSF1B,939.8184761,-10.41812453,0.566613834,-18.38663992,1.68E-75,6.49E-73
PHACTR1,557.7699528,-9.044170446,0.493733964,-18.31790214,5.96E-75,2.23E-72
PLCG2,4549.699613,-5.48694039,0.29955134,-18.31719529,6.03E-75,2.23E-72
PHLDB1,2090.305303,8.018435242,0.438473415,18.28716399,1.05E-74,3.79E-72
KCNN3,781.6537926,-9.922918655,0.543127701,-18.26995501,1.44E-74,5.09E-72
EBI3,2112.522211,-11.6352839,0.637116438,-18.26241358,1.65E-74,5.73E-72
